German Occupation Titles,English Translation
Bürobeamte,Government office worker
Bürochef,Office Chief
Bürodiener,Office Boy
Bürogehilfe,Office Help
Bürokrat,Beaurocrat
Bürstenbinder,Broom maker
Bürstenbindergeselle,Assistant broom maker
Bürstenmacher,Broom maker
Bürstenmeister,Brushes Foreman
Bürstner,(Bristle) Brush Manufacturer
Büstenbinder,Brush Bonder
Chauffeur,Driver
Chauffeur/ Monteur,Driver / Mechanic
Chauffeur-Mechaniker,Driver / Mechanic
Chefkoch,Chef (Cook)
Chem. Walzarb.,Chemistry Mill Worker
Chem.Magister,Chemistry Master (Of Science)
Chemie Arbeiter,Chemistry Worker
Chemieingenieur,Chemistry Engeneer
Chemigraph,Zincographer
Chemiker,Chemist
Chemiker Laborant,Chemist Laboratory Assistant
Chemiker Stud.,Chemist Student
Chemisch Laborantin,Chemical laboratory assistant
Chemischputzer,Cheical cleaner
Dachdecker,Roofer
Dachziegelarbeiter,Tiler
Dachziegeltechn.,Tiler Technician
Daktylograf,Typist
Damenfriseur,Hairdresser (Ladies)
Damenhutmacher,Hatter (Ladies)
Dampf Masch. Heizer,Steam Machine Stoker
Dampfmaschinist,Steam Machine Operator
Dampfwalzenführer,Steam Cylinder Pilot
Darmputzer,Gut Cleaner
Dekorateur,Upholsterer / Decorator
Dentist,Dentist
Dermatolog,Deratologist
Dermatolog Betriebarztin,Factory doctor dermatologist (female)
Desinfekter,Sanitation worker
Destillateur,Distiller
Destillateurgehilfe,Assistant Distiller
Deutsche Korrespondent,Correspondance clerk in German
Deutsche Stenotypistin,German stenographer
Deutsche Stenotypistin u. Übersetzerin,German stenograher & translator
Diamantarbeiter,Diamond Worker
Diamantschleifer,Diamond Polisher
Diener,Butler
Dienstknecht,Farm Labourer
Dipl. Kaufmann,Business School Alumni
Dipl. Landwirt,Agronomic Engeneer
Dipl. Opt.,Certificated Optician
Diplomiert Bauingenieur,Degreed constructional engineer
Diplomiert Buchhalter,Accountant - degreed
Diplomiert  Chemiker,Degreed chemist
Diplomiert Chemiker,Degreed chemist
Diplomiert Hoch-u.Tiefbau Ingenieur,Degreed civil engineer
Diplomiert Ingenieur,Degreed engineer
Diplomiert Ingenieur,Degreed engineer
Diplomiert Ingenieur Architekt,Degreed architectural engineer
Diplomiert Ingenieur Elektriker,Degreed electrical engineer
Diplomiert Maschinen Ingenieur,Degreed mechanical engineer
Direktor,Director
Doktor der Chemie,Doctor of chemistry
Dolmetscher,Translator
Dolmetscher/Korrespondent,Translator / Correspondent
Dr. Ing. Bodenkultur,Soil Exploitation Engeneer (Ph.D.)
Dr. Ingenieur Chemiker,Doctor of chemical engineering
Drahtzieher,Wire Puller
Dränagemeister,Drainage Foreman
Drechselergeselle,Assistant wood turner
Dreher,Turner operator
Dreher Metall,Metal Turner (Lathe Operator)
Dreher/Fräser,Turner / Milling Cutter
Drehergehilfe,Turner Assistant
Drehergehilfe,Assistant turner
Dreherlehrling,Turner Apprentice
Drogerist,Drugist
Drucker,Printer
Druckereiarbeit,Printing Plant Worker
Druckereikorrektor,Printing Proofreader
Druckermeister,Master printer
Druckwalzererzeuger,Print Cylinder Producer
Drukereimaschinemekaniker,Printing Machinist
Edelsteinschleif.,Precious Stones Polisher
Einkassierer,Cashier / Collector
Eisenarbeiter,Iron Worker
Eisenbahn Ingenieur,Railways Engeneer
Eisenbahnagestellter,Railways Employee
Eisenbahnarbeiter,Railways Worker
Eisenbahnbeamter,Railways Employee
Eisenbahner,Railways Man
Eisenbahninspekteur,Railways Inspector
Eisenbahnschlosser,Railways Locksmith
Eisenbieger,Iron Bender
Eisenbohrer,Iron Driller
Eisendreher,Iron Turner
Eisendrehergeselle,Assistant iron turner
Eisendreherm.,Iron turner mechanic
Eisenformer,Iron Shaper / Molder
Eisengießer,Iron Founder
Eisengiesserei Fachmann,Iron foundry expert
Eisenhändler,Iron Merchant
Eisen-Hobler,Iron Planing Machine Operator
Eisen-Magazineur,Iron Stock Keeper
Eisenmonteur,Iron Mechanic
Eisenschrottsortierer,Scrap iron sorter
Eisensortierer,Iron sorter
Eisenträger,Iron Porter
Eisen-Walzer,Iron Foil Roller
El. Installateur,
Elektriker,Electrician
Elektrisch Ingenieur,Electrical engineer
Elektrisch Mechaniker,Electrical mechanic
Elektrisch Monteur,Electrical operator
Elektrisch Techniker,Electrical technician
Elektro Masseur,Electro-Masseur
Elektro-Diplomiert Ingenieur,Degreed electrical engineer
Elektrogehilfe,Assistant electrician
Elektro-Ingenieur,Electrical engineer
Elektromachinist,Electrical machinist
Elektromonteur,Electrician
Elektromonteur,Electrical operator
